Time,Date,Sender_account,Receiver_account,Amount,Payment_currency,Received_currency,Sender_bank_location,Receiver_bank_location,Payment_type,Is_laundering,Laundering_type
11:38:54,2022-12-09,1782263940,3455276355,8822.67,Euro,UK pounds,Italy,UK,Cross-border,0,Normal_Fan_Out
17:59:27,2023-02-20,3282818329,1996988163,14199.02,UK pounds,Euro,UK,Austria,Cross-border,0,Normal_Periodical
21:00:59,2023-05-07,1143179844,5437875938,7709.52,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Periodical
16:03:35,2023-04-07,4502006431,2888607730,9562.41,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_In
20:49:28,2023-05-07,1353679716,1298071427,7569.63,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Group
07:10:04,2023-07-21,670003264,1220319699,217.1,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
14:55:50,2022-11-23,7298581095,5888975744,9552.45,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_Out
22:15:48,2023-06-20,9426668198,9155601981,6449.09,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_Out
20:11:48,2022-11-26,5440476078,8523501113,697.94,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
11:30:56,2022-11-08,9774455272,4210151647,1034.33,UK pounds,UK pounds,UK,UK,Cash Deposit,0,Normal_Cash_Deposits
09:09:28,2023-07-21,6773646243,3593014678,5359.21,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_Out
03:42:15,2023-05-07,7282622847,6915671163,5670.95,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_In
11:06:55,2023-05-26,4584816078,137363274,141.82,UK pounds,UK pounds,UK,UK,Cash Withdrawal,0,Normal_Cash_Withdrawal
23:42:06,2023-07-03,7392674609,2013752038,6179.86,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_Out
19:14:37,2023-05-24,2522945954,2010278469,191.0,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
18:08:44,2023-07-22,3944595782,5725715826,598.16,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
22:59:17,2022-12-19,1657345925,4078217468,20039.41,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
15:09:01,2022-10-26,6150961732,9784994864,2670.05,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
10:09:42,2023-01-24,354439517,5673834143,15154.38,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_In
10:50:20,2023-06-30,3977030887,3107013229,844.77,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
13:53:19,2023-06-15,3471389806,772181031,747.97,UK pounds,UK pounds,UK,UK,Cash Deposit,0,Normal_Cash_Deposits
21:32:32,2023-03-12,4826036471,9173162458,1743.55,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
06:22:29,2023-02-17,2227139280,1424693007,11662.11,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Group
22:13:46,2023-03-26,9085589836,2573691988,12187.71,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
03:04:20,2023-01-05,7523088692,2148886161,26256.52,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Group
10:19:05,2022-12-28,5581071684,2494434938,1337.97,UK pounds,UK pounds,UK,UK,Cash Deposit,0,Normal_Cash_Deposits
14:42:09,2023-04-26,656226880,890941601,29131.66,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
13:52:18,2023-07-16,395350325,294919771,10868.96,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_Out
21:58:08,2023-02-09,1682464689,1658611209,2858.84,UK pounds,Euro,UK,Spain,Cross-border,0,Normal_Small_Fan_Out
20:01:50,2022-12-19,6241142088,1083706398,15086.3,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_Out
18:18:05,2023-08-09,1341690739,8460484184,5859.3,US dollar,UK pounds,UK,UK,ACH,0,Normal_Fan_Out
12:53:25,2022-11-04,1236944105,6196423966,32.42,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
09:20:55,2023-03-27,4046656813,1286119059,10251.07,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_Out
15:39:37,2023-02-13,6190208892,8509240259,4067.1,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
21:17:14,2022-12-02,1695708564,6512917736,522.57,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
